fips,clinton_votes,clinton_percent,clinton_margin,trump_votes,trump_percent,johnson_votes,johnson_percent,other_votes,other_percent
01,727869,0.3434852758451943,-0.27807400325331544,1317127,0.6215592790985097,44373,0.02093985613493473,29700,0.01401558892136122
02,116180,0.3650405635537569,-0.1481999333890519,163347,0.5132404969428088,18718,0.05881243990875557,20021,0.06290649959467866
04,1161165,0.44580650140000205,-0.03502366354800035,1252389,0.4808301649480024,106326,0.04082177990884725,84759,0.03254155374314828
05,380494,0.3365235026236865,-0.2692035897585571,684872,0.6057270923822436,29949,0.026488045488435526,35346,0.031261359505634315
06,8753777,0.6172643085356558,0.3010934614432676,4483799,0.31617084709238824,478498,0.033740834054339544,465496,0.032824010317616455
08,1338870,0.48156512712719407,0.04905535371497566,1202484,0.4325097734122184,144121,0.0518374806267213,94772,0.0340876188338662
09,897572,0.5456809247683397,0.1363983449107708,673215,0.40928257985756894,48639,0.02957018991212658,25440,0.015466305461964683
10,235603,0.5308597745902562,0.11373232930912497,185127,0.41712744528113127,14757,0.03325041571469129,8327,0.018762364413921147
11,282830,0.8899090362753643,0.8498768166786757,12723,0.04003221959668868,4906,0.015436459116667033,17360,0.054622285011280004
12,4504974,0.4742991544687029,-0.011887026658819522,4617879,0.48618618112752243,207042,0.02179809373805691,168275,0.01771657066571771
13,1877963,0.4563998335736082,-0.05131342697410185,2089104,0.50771326054771,125306,0.030453016138110574,22359,0.005433889740571196
15,266891,0.6222149173421738,0.32182814725705644,128847,0.3003867700851174,15954,0.03719427328488799,17245,0.04020403928782082
16,189765,0.2748811115472809,-0.31764908677155024,409055,0.5925301983188311,28331,0.041038425269391166,63202,0.09155026486449686
17,3091904,0.5529231083970383,0.16884099283180526,2147758,0.38408211556523303,209752,0.03750980878853146,142510,0.025484967249197236
18,1033089,0.37893292438023396,-0.19220917936361626,1557111,0.5711421037438502,133989,0.04914663074022003,2122,0.0007783411356958175
19,653669,0.4174048917294741,-0.09406838051098604,800983,0.5114732722404601,59186,0.03779363243767205,52193,0.03332820359239377
20,427009,0.3577305449369628,-0.2044223611226303,671020,0.5621529060595931,55406,0.04641686374942299,40226,0.03369968525402103
21,628846,0.32640669541548406,-0.29797900104434194,1202924,0.624385696459826,53771,0.027910194895389324,41031,0.02129741322930054
22,780154,0.3844956609851397,-0.1963911855505483,1178638,0.580886846535688,37978,0.018717299677875953,32262,0.01590019280129638
23,357582,0.47822789990410886,0.029711537561369628,335366,0.4485163623427392,37057,0.049559796876650845,17718,0.023695940876501058
24,1677928,0.6032585267852167,0.26416486993612304,943169,0.3390936568490937,79622,0.028626168953430974,80722,0.02902164741225861
25,1995196,0.6000506459158761,0.2719670645157992,1090893,0.3280835814000769,138018,0.041508598678033325,100939,0.030357174006013753
26,2268839,0.4727453095086684,-0.00223033269129308,2279543,0.47497564219996147,172136,0.03586701683001048,78766,0.016412031461359652
27,1367716,0.4644491857377701,0.01520130480271581,1322951,0.4492478809350543,112972,0.038363047161228916,141174,0.0479398861659467
28,485131,0.4011448974090557,-0.1782611715560054,700714,0.5794060689650611,14435,0.011936006138753693,9086,0.00751302748712962
29,1071068,0.38139399736067897,-0.18639154391734775,1594511,0.5677855412780267,97359,0.034668329358209134,45360,0.016152132003085143
30,177709,0.35745765337012997,-0.20422732109416325,279240,0.5616849744642932,28037,0.056395794402862735,12161,0.024461577762714046
31,284527,0.3369388487376946,-0.25059595214382907,496142,0.5875348008815237,38952,0.04612722882549171,24826,0.02939912155529003
32,539132,0.4792390942020934,0.024295651014466957,511800,0.4549434431876264,37375,0.03322296051023356,36668,0.03259450210004667
33,348526,0.46826262669690555,0.003675956877371378,345790,0.46458666981953417,30777,0.04135048421595709,19203,0.025800219267603213
34,2148239,0.5504838491452562,0.1402632086050425,1600868,0.4102206405402137,72404,0.01855344429251733,80945,0.020742066022012805
35,385234,0.48255647178634103,0.0821313284539138,319667,0.40042514333242724,74541,0.09337244885816322,18877,0.023645936023068474
36,4556131,0.5758596853818633,0.2194916579213757,2819540,0.35636802746048757,176599,0.022320746391785412,359607,0.045451540765863774
37,2189316,0.46172827216650697,-0.036552254444099486,2362631,0.49828052661060646,130126,0.027443664205596123,59495,0.012547537017290483
38,93758,0.27226739458706006,-0.35728888372633294,216794,0.629556278313393,21434,0.06224300151004762,12374,0.03593332558949936
39,2394164,0.4355807627672002,-0.0812957439906617,2841005,0.5168765067578619,174498,0.03174718688500491,86820,0.015795543589932987
40,420375,0.2893168028454389,-0.36391184535083465,949136,0.6532286481962736,83481,0.05745454895828745,0,0.0
41,1002106,0.5007185200286208,0.10977816818365327,782403,0.39094035184496756,94231,0.04708404785603217,122596,0.061257080270379384
42,2925758,0.47547787366128746,-0.007251393561178543,2970378,0.482729267222466,146659,0.02383420278549721,110505,0.017958656330749355
44,251888,0.5435461874428159,0.15406891432319986,180490,0.38947727311961605,14730,0.0317856957895282,16308,0.035190843648039774
45,855373,0.4067341978966509,-0.14265912896030342,1155389,0.5493933268569543,49204,0.023396751444465524,43061,0.020475723801929316
46,117442,0.31737049618021496,-0.29795944839439314,227701,0.6153299445746081,20845,0.056330682318732485,4059,0.010968876926444479
47,870695,0.34716332798650096,-0.2600570089556452,1522925,0.6072203369421462,70397,0.02806867709159431,44010,0.01754765797975859
48,3877626,0.4317174839064514,-0.0898101284143819,4684288,0.5215276123208333,283462,0.03155938747653604,136484,0.015195516296179188
49,311164,0.27154242948635715,-0.17863921606614114,515869,0.4501816455524983,39747,0.03468587929450141,279133,0.2435900456666431
50,178573,0.5670442240703165,0.2642076216423906,95369,0.3028366024279259,10078,0.03200187984846897,30899,0.09811729365328863
51,1981473,0.4972789199301014,0.053211953628830355,1769443,0.44406696630127107,118274,0.029682547769166078,115441,0.02897156599946143
53,1741603,0.525573056520734,0.1574637220623818,1219812,0.36810933445835226,160732,0.04850497416500237,191575,0.05781263485591127
54,188785,0.26476779786289606,-0.42153877655777316,489351,0.6863065744206692,23003,0.03226132189655003,11882,0.01666430581988469
55,1381823,0.4644294566655676,-0.007453669580309685,1404000,0.4718831262458773,106585,0.035823121802647316,82905,0.027864295285907736
56,55973,0.2187735734749794,-0.46295275729043306,174419,0.6817263307654124,13287,0.05193297609136639,12170,0.047567119668241814
